Requirement_ID,Requirement_Text,Relevant_Transition_ActionId_Concrete,Relevant_Transition_ActionId_Abstract,Transition_Notes,Relevant_Widget_AbstractID,Relevant_Widget_ConcreteID,Relevant_Widget_Selector,Relevant_Widget_Text,Relevant_Widget_Tag,Relevant_Widget_Href,Widget_Notes,Relevance_Type
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",AC1xkemcb764070226323,WAvis79x1134313057,,WAvis79x1134313057,WCh51rr293502424761,.form-select,,select,,,Linked
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WCyqu7jw2932019932902,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WCawcizj29329671502,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WCi87fgy29f3175556091,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WC1ur5jf529f1865550419,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WC1l27iyo29d2720921442,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Nom (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WCuvoeyx2ac1407617521,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WC6vug8a2ac1274574034,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WCzvwzz52b468676726,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Preis (Niedrig - Hoch),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WCkdymfz2ac4207763189,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Prix (Bas - Élevé),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WC19x7h7f2b13817845899,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WC1m2jfru2b12235644166,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WCibjxjb2b71279555840,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂-Bewertung (A - E),option,,,Functional
