Requirement_ID,Requirement_Text,Relevant_Transition_ActionId_Concrete,Relevant_Transition_ActionId_Abstract,Transition_Notes,Relevant_Widget_AbstractID,Relevant_Widget_ConcreteID,Relevant_Widget_Selector,Relevant_Widget_Text,Relevant_Widget_Tag,Relevant_Widget_Href,Widget_Notes,Relevance_Type
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",AC4btsev753711171323,WAvis79x1134313057,,WAvis79x1134313057,WCh51rr293502424761,.form-select,,select,,,Linked
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WCyqu7jw2932019932902,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WCawcizj29329671502,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WC1ahlsn82933519565232,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WC5mndeo2931462776333,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WC63juoy2933171654492,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAvis79x1134313057,WCupaxui2931734559971,.form-select,,select,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WCi87fgy29f3175556091,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WCdus98u2a3538147493,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Nombre (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1vc3n5cb1753882342,WCz7xevl2a0626112402,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(3),Name (Z - A),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1vc3n5cb1753882342,WC4d3tn92a43316869492,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(3),Nombre (Z - A),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAxmg4qec2919826633,WCp44yig2b13445672779,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Precio (Alto - Bajo),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAxmg4qec2919826633,WCwfcw9i2ad2478749624,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Price (High - Low),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WC8wikmr2b0822403177,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Precio (Bajo - Alto),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WCuvoeyx2ac1407617521,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WC19x7h7f2b13817845899,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WC1237ppv2bd1116197791,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),Calificación CO₂ (A - E),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1mlzacl111301876333,WCq1l6so2b24170932814,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),CO₂ Rating (E - A),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1mlzacl111301876333,WC1t9zp5c2be3090238078,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),Calificación CO₂ (E - A),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA91nokya1596131791,WC1ur5jf529f1865550419,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(2),Name (A - Z),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1vc3n5cb1753882342,WC1bvxnua2a04254001505,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(3),Name (Z - A),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAxmg4qec2919826633,WC1xwsl1x2ad834787383,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(4),Price (High - Low),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WAcjhdnwb3504379125,WC6vug8a2ac1274574034,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(5),Price (Low - High),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1n6900t10601956989,WC1m2jfru2b12235644166,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(6),CO₂ Rating (A - E),option,,,Functional
RQ1,"Given the user is on the home or category page, when they choose a sort option from the Sort drop-down, then the product list is reordered accordingly",,,,WA1mlzacl111301876333,WC1bhboi12b21811174238,:root > :nth-child(2) > :nth-child(1) > :nth-child(3) > :nth-child(2) > :nth-child(2) > :nth-child(2) > :nth-child(3) > :nth-child(1) > :nth-child(1) > :nth-child(7),CO₂ Rating (E - A),option,,,Functional
RQ2,"Given the user types a search term in the Search field and presses the ""Search"" button, then the catalogue displays products whose names or descriptions match the query",AC78t3wi5a2589670838,WA1frvumd413291516157,,WA1frvumd413291516157,WC15cr07v2d13647307917,#search-query,,input,,,Linked
RQ2,"Given the user types a search term in the Search field and presses the ""Search"" button, then the catalogue displays products whose names or descriptions match the query",,,,WA1frvumd413291516157,WC5pocah2d11379345188,#search-query,,input,,,Functional
RQ2,"Given the user types a search term in the Search field and presses the ""Search"" button, then the catalogue displays products whose names or descriptions match the query",,,,WA1frvumd413291516157,WCp394fj2d1418535478,#search-query,,input,,,Functional
RQ2,"Given the user types a search term in the Search field and presses the ""Search"" button, then the catalogue displays products whose names or descriptions match the query",,,,WA1frvumd413291516157,WC13rbn082d1371839786,#search-query,,input,,,Functional
