method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,sheet,ground_truth_file,model_path,row,requirement_id,warning,widget_concrete_id,widget_selector
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,619,RQ23,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,620,RQ23,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,640,RQ24,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,641,RQ24,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,661,RQ25,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,662,RQ25,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,682,RQ26,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,683,RQ26,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,703,RQ27,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,704,RQ27,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,724,RQ28,row_fallback,WC1yoa5x12bf2024598444,#language
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Ground truth Focus_Gemma3,Ground Truth\Ground truth Focus_Gemma3.csv,New filtered models\filtered_model_Gemma3_focus.json,725,RQ28,row_fallback,WC83567p2bf2880349718,#language
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,136,RQ7,row_fallback,WC1sfkeaj2b7418390443,[data-test='nav-special-tools']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,137,RQ7,row_fallback,WC1dd0xie2bf3323984982,[data-test='nav-special-tools']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,138,RQ7,row_fallback,WC3xbhs32bf2378894416,[data-test='nav-special-tools']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,139,RQ7,row_fallback,WCsa56wp2cb2009081712,[data-test='nav-special-tools']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,313,RQ13,row_fallback,WC17ocofc29b32495254,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,314,RQ13,row_fallback,WC1n8b16329b3318047697,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,315,RQ13,row_fallback,WC1yqhscb29b4290454498,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,316,RQ13,row_fallback,WChlbea729b3556145141,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,317,RQ13,row_fallback,WC101qodi29b3536353189,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,318,RQ13,row_fallback,WC12l24ir29b4237452944,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,319,RQ13,row_fallback,WCia3jrb29b4246395071,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,320,RQ13,row_fallback,WC1xzu60z29b4267247073,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,321,RQ13,row_fallback,WC1r6s3b229b948107883,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,322,RQ13,row_fallback,WC4ftu3429c2403189702,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,323,RQ13,row_fallback,WChnqsao29b2495657157,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,324,RQ13,row_fallback,WC1kldyaq29b3951517631,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,325,RQ13,row_fallback,WC18eh1r429b964817262,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,326,RQ13,row_fallback,WC15d11q129b922485673,[data-test='nav-sign-in']
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Ground truth LLM_Gemma3,Ground Truth\Ground truth LLM_Gemma3.csv,New filtered models\filtered_model_Gemma3_Llmreq.json,327,RQ13,row_fallback,WC9kfac529c2756413846,[data-test='nav-sign-in']
