Requirement_ID,Requirement_Text,Relevant_Transition_ActionId_Concrete,Relevant_Transition_ActionId_Abstract,Transition_Notes,Relevant_Widget_AbstractID,Relevant_Widget_ConcreteID,Relevant_Widget_Selector,Relevant_Widget_Text,Relevant_Widget_Tag,Relevant_Widget_Href,Widget_Notes,Relevance_Type
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",ACfs1zkk543254823649,WA9jrcsp213559089499,,WA9jrcsp213559089499,WCzpk3k72c51795654763,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC15pdr7q542102985738,WA9jrcsp213559089499,,WA9jrcsp213559089499,WCzpk3k72c51795654763,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC1y2qmmn541936761639,WA9jrcsp213559089499,,WA9jrcsp213559089499,WCzpk3k72c51795654763,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC1lgcch2542583925300,WA9jrcsp213559089499,,WA9jrcsp213559089499,WCzpk3k72c51795654763,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WCmqahj82c54169240349,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC15uub9s2c53203855571,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC5l3y0c2c52147031908,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC1ygxs9v2c51548671438,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC125m5ea54782919170,WA9jrcsp213559089499,,WA9jrcsp213559089499,WC1n00uso2c595675132,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",ACmq71k0541185550023,WA9jrcsp213559089499,,WA9jrcsp213559089499,WC1n00uso2c595675132,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC14najww471829456739,WA7zmqvr171542543436,,WA7zmqvr171542543436,WCvl7vva28f463114223,[data-test='nav-cart'],,a,/checkout,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC1gvkbve4b1910158897,WA7zmqvr171542543436,,WA7zmqvr171542543436,WC1ozcayi28f2552726765,[data-test='nav-cart'],,a,/checkout,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA7zmqvr171542543436,WC1xrji6x28f2403629211,[data-test='nav-cart'],,a,/checkout,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA7zmqvr171542543436,WC152m86928f3035565760,[data-test='nav-cart'],,a,/checkout,,Functional
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC1vnvxeo502583717733,WA1dhxlrr4a3595856004,,WA1dhxlrr4a3595856004,WC7nifr2d52975233049,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC13rcmka574096722673,WA1dhxlrr4a3595856004,,WA1dhxlrr4a3595856004,WC7nifr2d52975233049,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",ACxheyxj5a656866146,WA1dhxlrr4a3595856004,,WA1dhxlrr4a3595856004,WCb5k5bs2d53888900651,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",,,,WA1dhxlrr4a3595856004,WCr5w6m72d5890492948,#quantity-input,,input,,,Functional
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",,,,WA1dhxlrr4a3595856004,WC13u9xgc2d51098610121,#quantity-input,,input,,,Functional
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC5qh5x05b3098269650,WA1m1ik5x463891716205,,WA1m1ik5x463891716205,WC1f8xg2p2d14220822078,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC1bccuca591080792238,WA12j7c4c451101470233,,WA12j7c4c451101470233,WCflwvon2d04077366853,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC1hvsgyk5a3145033488,WA12j7c4d453635301283,,WA12j7c4d453635301283,WC1b3ws882d03236438283,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC2ienix5a1815636967,WA12j7c4e452947119925,,WA12j7c4e452947119925,WC7ksmsp2d03518145585,#quantity-input,,input,,,Linked
RQ3,"Given I have a quantity greater than one selected for a product, when I choose to decrease the quantity, then the number of products to be added to my cart is reduced.",,,NON-COVERED RQ,WA1aterxp3a2813141548,WC16fz4852cd1040249821,#btn-decrease-quantity,,button,,,Functional
RQ3,"Given I have a quantity greater than one selected for a product, when I choose to decrease the quantity, then the number of products to be added to my cart is reduced.",,,,WA1aterxp3a2813141548,WC1ueucao2cd1359078301,#btn-decrease-quantity,,button,,,Functional
RQ3,"Given I have a quantity greater than one selected for a product, when I choose to decrease the quantity, then the number of products to be added to my cart is reduced.",,,,WA1aterxp3a2813141548,WCbkpigt2cd1277261548,#btn-decrease-quantity,,button,,,Functional
RQ3,"Given I have a quantity greater than one selected for a product, when I choose to decrease the quantity, then the number of products to be added to my cart is reduced.",,,,WA1aterxp3a2813141548,WCbpw06f2cd1734485398,#btn-decrease-quantity,,button,,,Functional
RQ3,"Given I have a quantity greater than one selected for a product, when I choose to decrease the quantity, then the number of products to be added to my cart is reduced.",,,,WA1aterxp3a2813141548,WCrwv8bo2cd2051191015,#btn-decrease-quantity,,button,,,Functional
