method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,average_scope,direction,result_file,evaluation,k,query_unit,queries_total,queries_with_gold,queries_without_gold,candidate_queries_total,candidate_queries_with_gold,candidate_queries_without_gold,requirements_total,requirements_with_gold,gold_links_total,gold_candidates_total,hits_total,hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,1,gui_candidate,154,148,6,154,148,6,154,148,204,204,23,0.14935064935064934,0.14935064935064934,0.12987012987012986,0.13636363636363635,0.14935064935064934,0.14935064935064934
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,1,gui_candidate,101,15,86,101,15,86,101,15,44,44,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,1,gui_candidate,146,135,11,146,135,11,146,135,169,169,23,0.15753424657534246,0.15753424657534246,0.136986301369863,0.14383561643835616,0.15753424657534246,0.15753424657534246
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,1,gui_candidate,332,192,140,332,192,140,332,192,267,267,37,0.11144578313253012,0.11144578313253012,0.0928714859437751,0.09810671256454388,0.11144578313253012,0.11144578313253012
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,1,gui_candidate,352,229,123,352,229,123,352,229,310,310,44,0.125,0.125,0.10748106060606061,0.11241883116883117,0.125,0.125
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,1,gui_candidate,198,81,117,198,81,117,198,81,106,106,21,0.10606060606060606,0.10606060606060606,0.09006734006734006,0.0937950937950938,0.10606060606060606,0.10606060606060606
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,1,gui_candidate,197,69,128,197,69,128,197,69,83,83,17,0.08629441624365482,0.08629441624365482,0.07952622673434856,0.08097655305777134,0.08629441624365482,0.08629441624365482
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,1,gui_candidate,178,44,134,178,44,134,178,44,63,63,14,0.07865168539325842,0.07865168539325842,0.060861423220973786,0.06500802568218299,0.07865168539325842,0.07865168539325842
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,3,gui_candidate,154,148,6,154,148,6,154,148,204,204,53,0.3051948051948052,0.1147186147186147,0.3051948051948052,0.16428571428571428,0.22077922077922077,0.22077922077922077
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,3,gui_candidate,101,15,86,101,15,86,101,15,44,44,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,all,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,3,gui_candidate,146,135,11,146,135,11,146,135,169,169,53,0.3219178082191781,0.12100456621004564,0.3219178082191781,0.17328767123287672,0.2328767123287671,0.2328767123287671
