method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,average_scope,direction,result_file,evaluation,k,query_unit,queries_total,queries_with_gold,queries_without_gold,candidate_queries_total,candidate_queries_with_gold,candidate_queries_without_gold,requirements_total,requirements_with_gold,gold_links_total,gold_candidates_total,hits_total,hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,1,gui_candidate,154,148,6,154,148,6,154,148,204,204,23,0.1554054054054054,0.1554054054054054,0.13513513513513514,0.14189189189189189,0.1554054054054054,0.1554054054054054
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,1,gui_candidate,101,15,86,101,15,86,101,15,44,44,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,1,gui_candidate,146,135,11,146,135,11,146,135,169,169,23,0.17037037037037037,0.17037037037037037,0.14814814814814814,0.15555555555555556,0.17037037037037037,0.17037037037037037
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_linked_widgets,1,gui_candidate,332,192,140,332,192,140,332,192,267,267,37,0.19270833333333334,0.19270833333333334,0.16059027777777776,0.16964285714285712,0.19270833333333334,0.19270833333333334
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,combined_actions_and_widgets,1,gui_candidate,352,229,123,352,229,123,352,229,310,310,44,0.19213973799126638,0.19213973799126638,0.16521106259097526,0.17280099812850905,0.19213973799126638,0.19213973799126638
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_all_resolved,1,gui_candidate,198,81,117,198,81,117,198,81,106,106,21,0.25925925925925924,0.25925925925925924,0.22016460905349794,0.22927689594356263,0.25925925925925924,0.25925925925925924
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_functional_resolved,1,gui_candidate,197,69,128,197,69,128,197,69,83,83,17,0.2463768115942029,0.2463768115942029,0.22705314009661834,0.23119392684610077,0.2463768115942029,0.2463768115942029
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,widgets_linked_resolved,1,gui_candidate,178,44,134,178,44,134,178,44,63,63,14,0.3181818181818182,0.3181818181818182,0.24621212121212122,0.262987012987013,0.3181818181818182,0.3181818181818182
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_all,3,gui_candidate,154,148,6,154,148,6,154,148,204,204,53,0.31756756756756754,0.11936936936936936,0.31756756756756754,0.17094594594594595,0.22972972972972974,0.22972972972972974
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_orphan,3,gui_candidate,101,15,86,101,15,86,101,15,44,44,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,VSM Strict,VSM | Focus-GPT5-Strict,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,gold,backward,Results IR New\VSM\vsm_backward_matches_Focus_GPT5.json,actions_with_linked_widget,3,gui_candidate,146,135,11,146,135,11,146,135,169,169,53,0.34814814814814815,0.13086419753086417,0.34814814814814815,0.1874074074074074,0.2518518518518518,0.2518518518518518
