method,method_family,filter_variant,dataset,source_model,scenario,condition,method_filter,method_condition,backward_result_file,total_candidates,widget_candidates,transition_candidates,unknown_candidates,avg_top_requirements,min_top_requirements,max_top_requirements
Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Jina v3 Strict,Jina v3 | Focus-Gemma3-Strict,Results CE New\Jina\jina_embeddings_v3_matches_Focus_Gemma3_backward.json,425,245,180,0,3.5294117647058822,1,14
Jina v3,CE,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,Jina v3 Strict,Jina v3 | Focus-GPT5-Strict,Results CE New\Jina\jina_embeddings_v3_matches_Focus_GPT5_backward.json,327,225,102,0,4.587155963302752,1,21
Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Jina v3 Strict,Jina v3 | LLMReq-Gemma3-Strict,Results CE New\Jina\jina_embeddings_v3_matches_Llmreq_Gemma3_backward.json,546,381,165,0,3.2967032967032965,1,16
Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Jina v3 Strict,Jina v3 | LLMReq-GPT5-Strict,Results CE New\Jina\jina_embeddings_v3_matches_Llmreq_GPT5_backward.json,550,449,101,0,3.272727272727273,1,15
Qwen3 0.6B,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Qwen3 0.6B Strict,Qwen3 0.6B | Focus-Gemma3-Strict,Results CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_Focus_Gemma3_backward.json,433,259,174,0,3.464203233256351,1,14
Qwen3 0.6B,CE,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,Qwen3 0.6B Strict,Qwen3 0.6B | Focus-GPT5-Strict,Results CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_Focus_GPT5_backward.json,308,203,105,0,4.87012987012987,1,22
Qwen3 0.6B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Qwen3 0.6B Strict,Qwen3 0.6B | LLMReq-Gemma3-Strict,Results CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_Llmreq_Gemma3_backward.json,524,350,174,0,3.435114503816794,1,15
Qwen3 0.6B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Qwen3 0.6B Strict,Qwen3 0.6B | LLMReq-GPT5-Strict,Results CE New\Qwen0.6B\qwen3_embedding_0.6b_matches_Llmreq_GPT5_backward.json,535,427,108,0,3.364485981308411,1,14
Qwen3 4B,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Qwen3 4B Strict,Qwen3 4B | Focus-Gemma3-Strict,Results CE New\Qwen4B\qwen3_embedding_4b_matches_Focus_Gemma3_backward.json,535,342,193,0,2.803738317757009,1,17
Qwen3 4B,CE,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,Qwen3 4B Strict,Qwen3 4B | Focus-GPT5-Strict,Results CE New\Qwen4B\qwen3_embedding_4b_matches_Focus_GPT5_backward.json,432,332,100,0,3.4722222222222223,1,14
Qwen3 4B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Qwen3 4B Strict,Qwen3 4B | LLMReq-Gemma3-Strict,Results CE New\Qwen4B\qwen3_embedding_4b_matches_Llmreq_Gemma3_backward.json,546,367,179,0,3.2967032967032965,1,15
Qwen3 4B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Qwen3 4B Strict,Qwen3 4B | LLMReq-GPT5-Strict,Results CE New\Qwen4B\qwen3_embedding_4b_matches_Llmreq_GPT5_backward.json,590,480,110,0,3.0508474576271185,1,14
Stella 1.5B,CE,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,Stella 1.5B Strict,Stella 1.5B | Focus-Gemma3-Strict,Results CE New\Stella\stella_en_1_5b_v5_matches_Focus_Gemma3_backward.json,454,285,169,0,3.303964757709251,1,23
Stella 1.5B,CE,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,Stella 1.5B Strict,Stella 1.5B | Focus-GPT5-Strict,Results CE New\Stella\stella_en_1_5b_v5_matches_Focus_GPT5_backward.json,345,239,106,0,4.3478260869565215,1,29
Stella 1.5B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,Stella 1.5B Strict,Stella 1.5B | LLMReq-Gemma3-Strict,Results CE New\Stella\stella_en_1_5b_v5_matches_Llmreq_Gemma3_backward.json,512,326,186,0,3.515625,1,18
Stella 1.5B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,LLMReq-GPT5-Strict,Stella 1.5B Strict,Stella 1.5B | LLMReq-GPT5-Strict,Results CE New\Stella\stella_en_1_5b_v5_matches_Llmreq_GPT5_backward.json,536,418,118,0,3.3582089552238807,1,17
JSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,Focus-Gemma3-Strict,JSM Strict,JSM | Focus-Gemma3-Strict,Results IR New\JSM\jsm_backward_matches_Focus_Gemma3.json,417,276,141,0,3.597122302158273,1,13
JSM,IR,Strict,Focus,GPT5,Focus-GPT5,Focus-GPT5-Strict,JSM Strict,JSM | Focus-GPT5-Strict,Results IR New\JSM\jsm_backward_matches_Focus_GPT5.json,278,192,86,0,5.39568345323741,1,16
JSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,LLMReq-Gemma3-Strict,JSM Strict,JSM | LLMReq-Gemma3-Strict,Results IR New\JSM\jsm_backward_matches_Llmreq_Gemma3.json,759,580,179,0,2.3715415019762847,1,12
