Requirement_ID,Requirement_Text,Relevant_Transition_ActionId_Concrete,Relevant_Transition_ActionId_Abstract,Transition_Notes,Relevant_Widget_AbstractID,Relevant_Widget_ConcreteID,Relevant_Widget_Selector,Relevant_Widget_Text,Relevant_Widget_Tag,Relevant_Widget_Href,Widget_Notes,Relevance_Type
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC1463j4w53827315046,WA9jrcsp213559089499,,WA9jrcsp213559089499,WC1n00uso2c595675132,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",ACw15i5153882498140,WA9jrcsp213559089499,,WA9jrcsp213559089499,WC1n00uso2c595675132,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",AC1rev1pj541497280386,WA9jrcsp213559089499,,WA9jrcsp213559089499,WC1n00uso2c595675132,#btn-add-to-cart,Add to cart,button,,,Linked
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WCzpk3k72c51795654763,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC1ygxs9v2c51548671438,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC15uub9s2c53203855571,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WC5l3y0c2c52147031908,#btn-add-to-cart,Add to cart,button,,,Functional
RQ1,"Given I am on a product page, when I press on ""add cart"", then a product is added to the cart.",,,,WA9jrcsp213559089499,WCew56bg2c54284504220,#btn-add-to-cart,Add to cart,button,,,Functional
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC1j21qbu591740490656,WA12j7c4d453635301283,,WA12j7c4d453635301283,WC1b3ws882d03236438283,#quantity-input,,input,,,Linked
RQ2,"Given I am viewing a product, when I enter a specific numerical amount, then exactly that specified quantity is prepared to be added to my cart.",AC1ideoa85c3652274887,WA12j7c4d453635301283,,WA12j7c4d453635301283,WC1b3ws882d03236438283,#quantity-input,,input,,,Linked
